"","pop","popName","percent","true"
"35","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.6 hom_blk, run 1","0.8 hom_nbd, 0.6 hom_blk, run 1",0.82,0.164
"36","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.6 hom_blk, run 1, noepi","0.8 hom_nbd, 0.6 hom_blk, run 1, noepi",0.936666666666667,0.164
"37","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.8 hom_blk, run 1","0.8 hom_nbd, 0.8 hom_blk, run 1",0.796666666666667,0.136666666666667
"38","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.8 hom_blk, run 1, noepi","0.8 hom_nbd, 0.8 hom_blk, run 1, noepi",0.943333333333333,0.136666666666667
"39","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.95 hom_blk, run 1","0.8 hom_nbd, 0.95 hom_blk, run 1",0.498316498316498,0.087
"40","simulationRuns/10reps_meanDeg3/data/0.8 hom_nbd, 0.95 hom_blk, run 1, noepi","0.8 hom_nbd, 0.95 hom_blk, run 1, noepi",0.923333333333333,0.087
"41","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.2 hom_blk, run 1","0.95 hom_nbd, 0.2 hom_blk, run 1",0.833333333333333,0.323666666666667
"42","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.2 hom_blk, run 1, noepi","0.95 hom_nbd, 0.2 hom_blk, run 1, noepi",0.956666666666667,0.323666666666667
"43","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.4 hom_blk, run 1","0.95 hom_nbd, 0.4 hom_blk, run 1",0.756666666666667,0.275666666666667
"44","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.4 hom_blk, run 1, noepi","0.95 hom_nbd, 0.4 hom_blk, run 1, noepi",0.946666666666667,0.275666666666667
"45","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.6 hom_blk, run 1","0.95 hom_nbd, 0.6 hom_blk, run 1",0.766666666666667,0.160666666666667
"46","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.6 hom_blk, run 1, noepi","0.95 hom_nbd, 0.6 hom_blk, run 1, noepi",0.933333333333333,0.160666666666667
"47","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.8 hom_blk, run 1","0.95 hom_nbd, 0.8 hom_blk, run 1",0.696666666666667,0.0903333333333333
"48","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.8 hom_blk, run 1, noepi","0.95 hom_nbd, 0.8 hom_blk, run 1, noepi",0.91,0.0903333333333333
"49","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.95 hom_blk, run 1","0.95 hom_nbd, 0.95 hom_blk, run 1",0.583333333333333,0.113666666666667
"50","simulationRuns/10reps_meanDeg3/data/0.95 hom_nbd, 0.95 hom_blk, run 1, noepi","0.95 hom_nbd, 0.95 hom_blk, run 1, noepi",0.93,0.113666666666667
