"","sim_i","t","out","in"
"277",1,1,1171,73
"278",1,1,1628,73
"279",1,1,1638,73
"280",1,1,1973,73
"281",1,1,1987,73
"282",1,1,1004,74
"283",1,1,191,75
"284",1,1,1485,75
"285",1,1,2343,75
"286",1,1,2376,75
"287",1,1,350,76
"288",1,1,780,76
"289",1,1,1001,76
"290",1,1,1974,76
"291",1,1,189,77
"292",1,1,330,77
"293",1,1,731,77
"294",1,1,1975,77
"295",1,1,2308,77
"296",1,1,2393,77
"297",1,1,1070,78
"298",1,1,438,79
"299",1,1,471,79
"300",1,1,574,79
"301",1,1,1614,79
"302",1,1,2374,79
"303",1,1,2500,79
"304",1,1,671,80
"305",1,1,676,80
"306",1,1,1621,81
"307",1,1,1656,81
"308",1,1,1986,81
"309",1,1,173,82
"310",1,1,223,82
"311",1,1,457,82
"312",1,1,1326,82
"313",1,1,1757,82
"314",1,1,1903,82
"315",1,1,1544,83
"316",1,1,312,84
"317",1,1,820,84
"318",1,1,868,84
"319",1,1,1170,84
"320",1,1,1742,84
"321",1,1,2276,84
"322",1,1,1345,85
"323",1,1,1957,85
"324",1,1,2267,86
"325",1,1,2472,86
"326",1,1,173,87
"327",1,1,1714,87
"328",1,1,2359,87
"329",1,1,480,88
"330",1,1,1762,88
"331",1,1,1972,88
"332",1,1,2241,88
"333",1,1,681,90
"334",1,1,1932,90
"335",1,1,453,91
"336",1,1,577,91
"337",1,1,140,92
"338",1,1,247,92
"339",1,1,2391,92
"340",1,1,2488,92
"341",1,1,145,93
"342",1,1,620,93
"343",1,1,992,93
"344",1,1,1026,93
"345",1,1,1529,93
"346",1,1,161,94
"347",1,1,634,94
"348",1,1,1629,94
"349",1,1,2064,94
"350",1,1,1756,95
"351",1,1,834,96
"352",1,1,1240,96
"353",1,1,1908,96
"354",1,1,2233,96
"355",1,1,513,97
"356",1,1,1261,97
"357",1,1,2380,97
"358",1,1,2412,97
"359",1,1,856,99
"360",1,1,1954,99
"361",1,1,2193,99
"362",1,1,311,100
"363",1,1,774,100
"364",1,1,1191,100
"365",1,1,2040,100
"366",1,1,2431,100
"367",1,1,606,101
"368",1,1,1257,101
"369",1,1,1424,101
"370",1,1,348,102
"371",1,1,896,102
"372",1,1,1682,102
"373",1,1,1772,102
"374",1,1,2041,102
"375",1,1,2482,102
"376",1,1,221,103
"377",1,1,2214,103
"378",1,1,710,104
"379",1,1,801,104
"380",1,1,1367,104
"381",1,1,1542,104
"382",1,1,2314,104
"383",1,1,117,105
"384",1,1,132,105
"385",1,1,232,105
"386",1,1,279,105
"387",1,1,260,106
"388",1,1,619,106
"389",1,1,1400,106
"390",1,1,1474,106
"391",1,1,2043,106
"392",1,1,1006,107
"393",1,1,2358,107
"394",1,1,658,108
"395",1,1,202,109
"396",1,1,1078,109
"397",1,1,1291,109
"398",1,1,2147,109
"399",1,1,2232,109
"400",1,1,2373,109
"401",1,1,144,110
"402",1,1,223,110
"403",1,1,481,110
"404",1,1,880,110
"405",1,1,1561,110
"406",1,1,397,111
"407",1,1,1141,111
"408",1,1,183,112
"409",1,1,339,112
"410",1,1,1154,112
"411",1,1,1216,112
"412",1,1,1487,112
"413",1,1,1860,112
"414",1,1,2050,112
"415",1,1,2243,112
"416",1,1,2373,112
"417",1,1,164,113
"418",1,1,413,113
"419",1,1,1566,113
"420",1,1,2129,113
"421",1,1,392,114
"422",1,1,781,114
"423",1,1,1348,114
"424",1,1,2451,114
"425",1,1,371,115
"426",1,1,380,115
"427",1,1,653,115
"428",1,1,747,115
"429",1,1,1038,115
"430",1,1,1593,115
"431",1,1,2423,115
"432",1,1,444,116
"433",1,1,2214,116
"434",1,1,537,117
"435",1,1,736,117
"436",1,1,2427,117
"437",1,1,2476,117
"438",1,1,122,118
"439",1,1,281,118
"440",1,1,658,119
"441",1,1,2316,119
"442",1,1,343,120
"443",1,1,1451,120
"444",1,1,2418,120
"445",1,1,130,121
"446",1,1,1244,121
"447",1,1,1640,121
"448",1,1,1712,121
"449",1,1,2002,121
"450",1,1,2025,121
"451",1,1,1186,122
"452",1,1,1343,122
"453",1,1,1470,122
"454",1,1,1941,122
"455",1,1,718,123
"456",1,1,977,123
"457",1,1,2488,123
"458",1,1,606,124
"459",1,1,1156,124
"460",1,1,1259,124
"461",1,1,1920,124
"462",1,1,1937,124
"463",1,1,2435,124
"464",1,1,808,125
"465",1,1,936,125
"466",1,1,2450,125
"467",1,1,278,126
"468",1,1,1382,126
"469",1,1,1574,126
"470",1,1,1281,127
"471",1,1,220,128
"472",1,1,2404,128
"473",1,1,373,129
"474",1,1,382,129
"475",1,1,1924,129
"476",1,1,1998,129
"477",1,1,2479,129
"478",1,1,2066,130
"479",1,1,824,131
"480",1,1,1461,131
"481",1,1,663,132
"482",1,1,1682,132
"483",1,1,2201,132
"484",1,1,1642,133
"485",1,1,2056,133
"486",1,1,2307,133
"487",1,1,2407,133
"488",1,1,769,134
"489",1,1,864,134
"490",1,1,1253,134
"491",1,1,2325,135
"492",1,1,2400,135
"493",1,1,2412,135
"494",1,1,550,136
"495",1,1,777,136
"496",1,1,1691,136
"497",1,1,1135,137
"498",1,1,1253,137
"499",1,1,2454,137
"500",1,1,731,138
"501",1,1,927,138
"502",1,1,1304,138
"503",1,1,1415,138
"504",1,1,243,139
"505",1,1,272,139
"506",1,1,1101,139
"507",1,1,1300,139
"508",1,1,2014,139
"509",1,1,2172,139
"510",1,1,310,140
"511",1,1,1109,140
"512",1,1,1299,140
"513",1,1,1552,140
"514",1,1,1679,140
"515",1,1,2128,140
"516",1,1,243,141
"517",1,1,914,141
"518",1,1,1895,141
"519",1,1,2324,141
"520",1,1,1490,142
"521",1,1,1498,142
