"","sim_i","t","person","blk","testatus"
"1","1","1","1","1","s"
"2","1","1","2","1","s"
"3","1","1","3","1","s"
"4","1","1","4","0","s"
"5","1","1","5","0","s"
"6","1","1","6","0","s"
"7","1","1","7","1","s"
"8","1","1","8","1","s"
"9","1","1","9","0","i"
"10","1","1","10","1","s"
"11","1","1","11","0","s"
"12","1","1","12","1","s"
"13","1","1","13","0","s"
"14","1","1","14","1","s"
"15","1","1","15","1","s"
"16","1","1","16","0","s"
"17","1","1","17","1","s"
"18","1","1","18","0","s"
"19","1","1","19","1","s"
"20","1","1","20","1","s"
"21","1","1","21","1","s"
"22","1","1","22","0","s"
"23","1","1","23","0","s"
"24","1","1","24","0","s"
"25","1","1","25","1","s"
"26","1","1","26","1","s"
"27","1","1","27","0","s"
"28","1","1","28","1","s"
"29","1","1","29","1","s"
"30","1","1","30","0","s"
"31","1","1","31","1","s"
"32","1","1","32","1","s"
"33","1","1","33","1","s"
"34","1","1","34","0","s"
"35","1","1","35","1","s"
"36","1","1","36","0","s"
"37","1","1","37","0","s"
"38","1","1","38","0","s"
"39","1","1","39","1","i"
"40","1","1","40","1","s"
"41","1","1","41","0","i"
"42","1","1","42","1","s"
"43","1","1","43","1","s"
"44","1","1","44","1","s"
"45","1","1","45","1","s"
"46","1","1","46","1","s"
"47","1","1","47","0","s"
"48","1","1","48","0","s"
"49","1","1","49","0","s"
"50","1","1","50","0","s"
"51","1","1","51","0","s"
"52","1","1","52","1","s"
"53","1","1","53","1","s"
"54","1","1","54","1","s"
"55","1","1","55","0","s"
"56","1","1","56","0","s"
"57","1","1","57","0","s"
"58","1","1","58","1","s"
"59","1","1","59","0","s"
"60","1","1","60","0","s"
"61","1","1","61","0","s"
"62","1","1","62","1","s"
"63","1","1","63","1","s"
"64","1","1","64","0","s"
"65","1","1","65","0","s"
"66","1","1","66","0","s"
"67","1","1","67","1","i"
"68","1","1","68","1","s"
"69","1","1","69","0","s"
"70","1","1","70","1","i"
"71","1","1","71","0","s"
"72","1","1","72","1","s"
"73","1","1","73","1","s"
"74","1","1","74","1","s"
"75","1","1","75","1","s"
"76","1","1","76","1","s"
"77","1","1","77","0","s"
"78","1","1","78","0","s"
"79","1","1","79","0","s"
"80","1","1","80","0","s"
"81","1","1","81","1","s"
"82","1","1","82","0","s"
"83","1","1","83","1","s"
"84","1","1","84","1","s"
"85","1","1","85","0","s"
"86","1","1","86","0","s"
"87","1","1","87","0","s"
"88","1","1","88","1","s"
"89","1","1","89","0","i"
"90","1","1","90","0","s"
"91","1","1","91","0","s"
"92","1","1","92","0","s"
"93","1","1","93","1","i"
"94","1","1","94","0","s"
"95","1","1","95","1","s"
"96","1","1","96","1","i"
"97","1","1","97","1","i"
"98","1","1","98","0","i"
"99","1","1","99","1","s"
