"","sampleNo","pop","testatus_i_rdsIest","testatus_s_rdsIest","testatus_i_rdsIIest","testatus_s_rdsIIest","testatus_i_rdsIse","testatus_s_rdsIse","testatus_i_rdsIIse","testatus_s_rdsIIse","testatus_i_true","testatus_s_true","blk_0_rdsIest","blk_1_rdsIest","blk_0_rdsIIest","blk_1_rdsIIest","blk_0_rdsIse","blk_1_rdsIse","blk_0_rdsIIse","blk_1_rdsIIse","blk_0_true","blk_1_true"
"26",25,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.151004762294354,0.848995237705646,0.161294551254235,0.838705448745765,0.0202328469706055,0.0202328469706055,0.0252915447772903,0.0252915447772904,0.11,0.89,0.446342251552306,0.553657748447694,0.448049658410292,0.551950341589708,0.0333103907484036,0.0333103907484036,0.0495450178449662,0.0495450178449662,0.51,0.49
"27",26,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.105797370431429,0.894202629568571,0.102709342830399,0.897290657169601,0.021923397260419,0.021923397260419,0.0381043843375365,0.0381043843375365,0.11,0.89,0.578486758835933,0.421513241164067,0.599432167867277,0.400567832132722,0.0356693510614941,0.035669351061494,0.0607754460015512,0.0607754460015512,0.51,0.49
"28",27,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.113440250255531,0.886559749744469,0.114137288319464,0.885862711680536,0.0191109067305677,0.0191109067305677,0.0235903267088974,0.0235903267088973,0.11,0.89,0.485704704910725,0.514295295089275,0.483184510384432,0.516815489615568,0.0342624845813646,0.0342624845813646,0.0559847266001243,0.0559847266001243,0.51,0.49
"29",28,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.109429160620929,0.890570839379071,0.1082811601014,0.8917188398986,0.0199782818348077,0.0199782818348077,0.0344088770046995,0.0344088770046995,0.11,0.89,0.482888714233229,0.517111285766771,0.486707641794044,0.513292358205956,0.0339255129582547,0.0339255129582547,0.0568282321114511,0.0568282321114511,0.51,0.49
"30",29,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0918448053292776,0.908155194670722,0.0883169223086748,0.911683077691325,0.017695064088239,0.017695064088239,0.0174422760483517,0.0174422760483517,0.11,0.89,0.520347887287983,0.479652112712017,0.529456171951396,0.470543828048604,0.0354168288208013,0.0354168288208013,0.0585536917287615,0.0585536917287615,0.51,0.49
"31",30,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.161437259926456,0.838562740073544,0.174088497821844,0.825911502178156,0.0218643690945402,0.0218643690945402,0.0808860809738952,0.0808860809738953,0.11,0.89,0.484562889258932,0.515437110741068,0.48627964662928,0.51372035337072,0.0338573510606633,0.0338573510606633,0.0604186417626496,0.0604186417626495,0.51,0.49
"32",31,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.102776445881795,0.897223554118205,0.11876641619602,0.88123358380398,0.0163556280102331,0.016355628010233,0.0235483770527375,0.0235483770527374,0.11,0.89,0.465009396383372,0.534990603616628,0.459477332512736,0.540522667487265,0.0335463447870612,0.0335463447870612,0.05918002762683,0.05918002762683,0.51,0.49
"33",32,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.103454672699275,0.896545327300725,0.101178760811835,0.898821239188165,0.020100241468164,0.020100241468164,0.0415090719032399,0.0415090719032399,0.11,0.89,0.501389328466531,0.498610671533469,0.485869858861314,0.514130141138686,0.0341162697112326,0.0341162697112326,0.0680641307900769,0.0680641307900769,0.51,0.49
"34",33,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.105554700644485,0.894445299355515,0.112613990999633,0.887386009000367,0.016271899828097,0.016271899828097,0.0248039012134926,0.0248039012134927,0.11,0.89,0.621130953954841,0.378869046045159,0.617964796566859,0.382035203433141,0.0322438746165645,0.0322438746165645,0.0527867977226637,0.0527867977226637,0.51,0.49
"35",34,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0766471825669736,0.923352817433026,0.0799261632104305,0.92007383678957,0.0137680260890839,0.0137680260890839,0.019732529747253,0.019732529747253,0.11,0.89,0.522756915528072,0.477243084471928,0.512701440854916,0.487298559145084,0.0340130033431634,0.0340130033431634,0.0678368759298252,0.0678368759298253,0.51,0.49
"36",35,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.113097805550305,0.886902194449695,0.119621309729378,0.880378690270622,0.0179716982145049,0.0179716982145049,0.0263841756981344,0.0263841756981344,0.11,0.89,0.53501990227292,0.46498009772708,0.537771181695454,0.462228818304546,0.0335682315901642,0.0335682315901642,0.0570149082668201,0.0570149082668201,0.51,0.49
"37",36,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0723455268096283,0.927654473190372,0.0778488002273793,0.922151199772621,0.0107891677671055,0.0107891677671055,0.015124023053121,0.015124023053121,0.11,0.89,0.485185478307578,0.514814521692422,0.490055509389951,0.509944490610049,0.0338481602171179,0.0338481602171179,0.0610385034849167,0.0610385034849167,0.51,0.49
"38",37,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.125720932104045,0.874279067895955,0.125801459689579,0.874198540310421,0.0199174319686201,0.0199174319686201,0.027533877678565,0.027533877678565,0.11,0.89,0.49506189127863,0.50493810872137,0.503017809646444,0.496982190353556,0.0344207694239224,0.0344207694239224,0.0588888317591706,0.0588888317591706,0.51,0.49
"39",38,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.109190749090394,0.890809250909606,0.105621858687004,0.894378141312996,0.0206183844838849,0.0206183844838848,0.0232189440177274,0.0232189440177274,0.11,0.89,0.498449647265071,0.501550352734929,0.514571256691534,0.485428743308466,0.0353049483811239,0.0353049483811239,0.0624601926710819,0.0624601926710819,0.51,0.49
"40",39,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.12521430219909,0.87478569780091,0.117898051820452,0.882101948179548,0.0178448080513029,0.0178448080513029,0.0251297544203993,0.0251297544203993,0.11,0.89,0.542507414185007,0.457492585814993,0.534182755364289,0.465817244635711,0.0342262448272496,0.0342262448272496,0.0682192751459342,0.0682192751459343,0.51,0.49
"41",40,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.124470790607907,0.875529209392093,0.136978497583654,0.863021502416346,0.0185544593978987,0.0185544593978987,0.0314899468979853,0.0314899468979853,0.11,0.89,0.458238140760399,0.541761859239601,0.483814199197756,0.516185800802244,0.0348114455517761,0.0348114455517761,0.056862346006214,0.056862346006214,0.51,0.49
"42",41,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.178701516188728,0.821298483811272,0.171666960818416,0.828333039181584,0.024672859797687,0.024672859797687,0.0410311544338054,0.0410311544338054,0.11,0.89,0.496758368429839,0.503241631570161,0.516131795976347,0.483868204023653,0.0345846428607099,0.0345846428607099,0.0622633410656296,0.0622633410656296,0.51,0.49
"43",42,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.05842056207244,0.94157943792756,0.0607168276843795,0.93928317231562,0.0102140684043606,0.0102140684043606,0.0169111088949862,0.0169111088949862,0.11,0.89,0.49817807439731,0.50182192560269,0.494137704628593,0.505862295371407,0.0341634192507851,0.0341634192507851,0.0691982007560963,0.0691982007560964,0.51,0.49
"44",43,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0734067619875565,0.926593238012444,0.0753608663095444,0.924639133690456,0.0155130345999289,0.0155130345999289,0.0240133364552439,0.0240133364552439,0.11,0.89,0.444145436272759,0.555854563727241,0.457861874315996,0.542138125684004,0.0334736028185856,0.0334736028185856,0.0567915631101005,0.0567915631101005,0.51,0.49
"45",44,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0857571364904965,0.914242863509504,0.0832129013619083,0.916787098638092,0.0152856773370865,0.0152856773370865,0.0186063814515658,0.0186063814515658,0.11,0.89,0.541290154503666,0.458709845496334,0.548189975388476,0.451810024611524,0.0347726391030075,0.0347726391030075,0.0659813151007637,0.0659813151007638,0.51,0.49
"46",45,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.105637352316802,0.894362647683198,0.0924729719219942,0.907527028078006,0.0189462890174042,0.0189462890174042,0.01643822672175,0.01643822672175,0.11,0.89,0.497878000499597,0.502121999500403,0.507975689919385,0.492024310080615,0.0337254325400111,0.0337254325400111,0.0519496094299209,0.0519496094299208,0.51,0.49
"47",46,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.138413156053251,0.861586843946749,0.143112352196278,0.856887647803722,0.0214490326560585,0.0214490326560586,0.028046495560484,0.028046495560484,0.11,0.89,0.575356210870464,0.424643789129536,0.577176203853862,0.422823796146138,0.0342296017268168,0.0342296017268168,0.0557731979439238,0.0557731979439238,0.51,0.49
"48",47,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0796326786759519,0.920367321324048,0.0858500318066158,0.914149968193384,0.0137422281557914,0.0137422281557913,0.0220472707893223,0.0220472707893222,0.11,0.89,0.525724987028745,0.474275012971255,0.507459219374773,0.492540780625227,0.0339112490534541,0.0339112490534541,0.0467368567735564,0.0467368567735563,0.51,0.49
"49",48,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.177005864751171,0.822994135248829,0.182011114465578,0.817988885534423,0.0277222241392927,0.0277222241392927,0.0542023224137433,0.0542023224137433,0.11,0.89,0.517317546957371,0.482682453042629,0.521048158956985,0.478951841043015,0.0336698777916485,0.0336698777916485,0.0567421392545846,0.0567421392545846,0.51,0.49
"50",49,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.12698269175119,0.87301730824881,0.132961717713272,0.867038282286728,0.0179546588734813,0.0179546588734812,0.0252606957798484,0.0252606957798483,0.11,0.89,0.533153245628082,0.466846754371918,0.528894649442661,0.471105350557339,0.0333873840052081,0.0333873840052081,0.0558126754794055,0.0558126754794055,0.51,0.49
"51",50,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0877317921407788,0.912268207859221,0.0905166913496836,0.909483308650316,0.0145128846846263,0.0145128846846263,0.0223437378698144,0.0223437378698144,0.11,0.89,0.479728543029646,0.520271456970354,0.491118085070896,0.508881914929104,0.0336729354014859,0.0336729354014859,0.0619289053684282,0.0619289053684282,0.51,0.49
"52",51,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.105629231773749,0.894370768226251,0.121992361030402,0.878007638969598,0.0145668915331532,0.0145668915331532,0.0238467673912548,0.0238467673912548,0.11,0.89,0.546861793546364,0.453138206453636,0.561505847111248,0.438494152888752,0.034135456510767,0.034135456510767,0.0565972118329473,0.0565972118329473,0.51,0.49
"53",52,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0999771981867863,0.900022801813214,0.105399761302247,0.894600238697753,0.0165903925138032,0.0165903925138032,0.0218074328419225,0.0218074328419225,0.11,0.89,0.456130337914902,0.543869662085098,0.470536679390321,0.529463320609679,0.03371563509211,0.0337156350921099,0.0439185376322587,0.0439185376322587,0.51,0.49
"54",53,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.109922104071652,0.890077895928348,0.0867582957688921,0.913241704231108,0.0252903961551682,0.0252903961551682,0.0291857048994772,0.0291857048994772,0.11,0.89,0.458832864868839,0.541167135131161,0.46554637751727,0.53445362248273,0.0342492105980942,0.0342492105980942,0.061501491153684,0.061501491153684,0.51,0.49
"55",54,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.140435720554627,0.859564279445374,0.146704491937835,0.853295508062165,0.0217090872946405,0.0217090872946405,0.0396153458885347,0.0396153458885347,0.11,0.89,0.467823936994802,0.532176063005198,0.455433271287928,0.544566728712072,0.0333525435676921,0.0333525435676921,0.0563154736072972,0.0563154736072972,0.51,0.49
"56",55,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.130677815026252,0.869322184973748,0.122677010490809,0.877322989509191,0.0226546544183898,0.0226546544183898,0.0345063006096349,0.0345063006096349,0.11,0.89,0.403270073844536,0.596729926155464,0.424494269993884,0.575505730006116,0.0325431935884802,0.0325431935884802,0.046103324824706,0.046103324824706,0.51,0.49
"57",56,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0658043605207569,0.934195639479243,0.0696494126987425,0.930350587301258,0.0153613166421877,0.0153613166421877,0.0200996627825356,0.0200996627825356,0.11,0.89,0.52201623868539,0.47798376131461,0.53859314529049,0.46140685470951,0.0352071409077869,0.0352071409077869,0.0644942421933598,0.0644942421933599,0.51,0.49
"58",57,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.122596681850083,0.877403318149917,0.1329166720976,0.8670833279024,0.0175222662010598,0.0175222662010598,0.0298768312382594,0.0298768312382594,0.11,0.89,0.493716403739891,0.506283596260109,0.480372605501319,0.519627394498681,0.0335855621257434,0.0335855621257434,0.059898989270503,0.059898989270503,0.51,0.49
"59",58,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.136075828496513,0.863924171503487,0.140098850916838,0.859901149083162,0.0186539702037035,0.0186539702037035,0.0296743810628971,0.0296743810628971,0.11,0.89,0.4621751702068,0.537824829793199,0.460880370696533,0.539119629303467,0.0339565120247192,0.0339565120247192,0.0469466297242046,0.0469466297242047,0.51,0.49
"60",59,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0707386646556292,0.929261335344371,0.0737945665008957,0.926205433499104,0.0123912277732733,0.0123912277732733,0.0137475278299104,0.0137475278299105,0.11,0.89,0.496119580654094,0.503880419345906,0.502662726315722,0.497337273684278,0.0336613156662543,0.0336613156662543,0.0507015089452338,0.0507015089452339,0.51,0.49
"61",60,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.140097408975474,0.859902591024526,0.141129360529804,0.858870639470196,0.0209827359210036,0.0209827359210036,0.0296243743657829,0.0296243743657829,0.11,0.89,0.467351318960158,0.532648681039842,0.465507621734453,0.534492378265547,0.0337641947721935,0.0337641947721935,0.0592238933266547,0.0592238933266547,0.51,0.49
"62",61,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0974548419288853,0.902545158071115,0.0953333459677971,0.904666654032203,0.015240435861941,0.015240435861941,0.017385854471888,0.017385854471888,0.11,0.89,0.485444988122289,0.514555011877711,0.484215821909194,0.515784178090806,0.0337077860306251,0.0337077860306251,0.0507280532737937,0.0507280532737937,0.51,0.49
"63",62,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0795131835789313,0.920486816421069,0.0769034646713879,0.923096535328612,0.0147946257310285,0.0147946257310285,0.0202878505813092,0.0202878505813092,0.11,0.89,0.549266893071436,0.450733106928564,0.550631927287919,0.449368072712081,0.0330686737883218,0.0330686737883218,0.0608544800512614,0.0608544800512614,0.51,0.49
"64",63,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0872987673398753,0.912701232660125,0.0868027932387448,0.913197206761255,0.0128862839846525,0.0128862839846525,0.0140009527622332,0.0140009527622332,0.11,0.89,0.558848189464942,0.441151810535058,0.545237803226662,0.454762196773338,0.0336195683206116,0.0336195683206116,0.0556264781578646,0.0556264781578646,0.51,0.49
"65",64,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.0862332061381438,0.913766793861856,0.0929409070260653,0.907059092973935,0.0126934132525369,0.0126934132525369,0.0204626165166469,0.0204626165166469,0.11,0.89,0.615562036863178,0.384437963136822,0.586696243564345,0.413303756435655,0.0319272746495609,0.0319272746495609,0.0579326722764568,0.0579326722764568,0.51,0.49
"66",65,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.177384748655906,0.822615251344094,0.184234267561833,0.815765732438167,0.0241436844953613,0.0241436844953613,0.0575442583725981,0.0575442583725981,0.11,0.89,0.561698550895825,0.438301449104175,0.549848922769224,0.450151077230776,0.0334949347977545,0.0334949347977545,0.0516287647607286,0.0516287647607286,0.51,0.49
"67",66,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.102199676431314,0.897800323568686,0.112784094155288,0.887215905844712,0.0155918249479722,0.0155918249479722,0.0355611783370133,0.0355611783370134,0.11,0.89,0.572291909757339,0.427708090242661,0.587074215848712,0.412925784151288,0.0346179953279057,0.0346179953279057,0.0495240885589878,0.0495240885589878,0.51,0.49
"68",67,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.117603997815636,0.882396002184364,0.121366694961465,0.878633305038535,0.0190032509173435,0.0190032509173435,0.0376739932651167,0.0376739932651167,0.11,0.89,0.536017231425717,0.463982768574283,0.536530083366594,0.463469916633406,0.0344530810886967,0.0344530810886967,0.0568650737264837,0.0568650737264837,0.51,0.49
"69",68,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.107482410158492,0.892517589841508,0.0980241050595894,0.901975894940411,0.01883396378058,0.01883396378058,0.0196054044253627,0.0196054044253627,0.11,0.89,0.530658010430139,0.469341989569861,0.505159863742518,0.494840136257482,0.033381681212629,0.033381681212629,0.0549344801186132,0.0549344801186132,0.51,0.49
"70",69,"simulationRuns/sim_1//data/epi_3000-0.25-0.5_1",0.136962783855269,0.863037216144731,0.125100954035748,0.874899045964252,0.0200577466369123,0.0200577466369123,0.0213164617276773,0.0213164617276773,0.11,0.89,0.529727246123526,0.470272753876474,0.531167312879751,0.468832687120249,0.0334811508259956,0.0334811508259956,0.0641638141877754,0.0641638141877754,0.51,0.49
