"","sim_i","t","out","in"
"1",1,1,239,1
"2",1,1,1101,1
"3",1,1,1285,1
"4",1,1,1540,1
"5",1,1,162,2
"6",1,1,2495,2
"7",1,1,243,3
"8",1,1,1150,3
"9",1,1,2097,3
"10",1,1,2238,3
"11",1,1,2870,3
"12",1,1,121,4
"13",1,1,292,4
"14",1,1,1965,4
"15",1,1,2313,4
"16",1,1,2534,4
"17",1,1,6,5
"18",1,1,514,5
"19",1,1,1587,5
"20",1,1,702,6
"21",1,1,1089,6
"22",1,1,493,7
"23",1,1,1760,7
"24",1,1,1829,7
"25",1,1,2789,7
"26",1,1,2226,8
"27",1,1,2822,8
"28",1,1,124,9
"29",1,1,194,9
"30",1,1,945,9
"31",1,1,1187,9
"32",1,1,1476,9
"33",1,1,2073,9
"34",1,1,2648,9
"35",1,1,51,10
"36",1,1,53,10
"37",1,1,534,10
"38",1,1,1496,10
"39",1,1,2049,10
"40",1,1,2625,10
"41",1,1,1088,11
"42",1,1,1293,11
"43",1,1,1770,11
"44",1,1,2232,11
"45",1,1,2481,11
"46",1,1,146,12
"47",1,1,1560,12
"48",1,1,2541,12
"49",1,1,2727,12
"50",1,1,243,13
"51",1,1,2067,13
"52",1,1,2073,13
"53",1,1,2518,13
"54",1,1,107,14
"55",1,1,585,14
"56",1,1,1187,14
"57",1,1,2116,14
"58",1,1,2880,14
"59",1,1,2350,15
"60",1,1,2832,16
"61",1,1,2963,16
"62",1,1,512,17
"63",1,1,1131,17
"64",1,1,1161,17
"65",1,1,2031,17
"66",1,1,2307,17
"67",1,1,2542,17
"68",1,1,2190,18
"69",1,1,2790,18
"70",1,1,2950,18
"71",1,1,289,19
"72",1,1,1482,19
"73",1,1,1672,19
"74",1,1,1929,19
"75",1,1,2280,19
"76",1,1,2430,19
"77",1,1,2510,19
"78",1,1,2931,19
"79",1,1,797,20
"80",1,1,2208,20
"81",1,1,225,21
"82",1,1,467,21
"83",1,1,1324,21
"84",1,1,1636,21
"85",1,1,451,22
"86",1,1,1947,22
"87",1,1,2870,22
"88",1,1,1645,23
"89",1,1,508,24
"90",1,1,283,25
"91",1,1,1059,25
"92",1,1,1202,25
"93",1,1,145,26
"94",1,1,2265,26
"95",1,1,1093,27
"96",1,1,1182,27
"97",1,1,2261,27
"98",1,1,337,28
"99",1,1,1492,28
"100",1,1,67,29
"101",1,1,1329,29
"102",1,1,2621,29
"103",1,1,390,30
"104",1,1,686,30
"105",1,1,1905,30
"106",1,1,2324,30
"107",1,1,689,31
"108",1,1,1249,31
"109",1,1,1548,31
"110",1,1,2931,31
"111",1,1,646,32
"112",1,1,1355,32
"113",1,1,2799,32
"114",1,1,501,33
"115",1,1,989,33
"116",1,1,1598,33
"117",1,1,2596,33
"118",1,1,452,34
"119",1,1,847,34
"120",1,1,2031,34
"121",1,1,343,35
"122",1,1,1215,35
"123",1,1,1662,35
"124",1,1,2779,35
"125",1,1,62,36
"126",1,1,754,36
"127",1,1,2827,36
"128",1,1,181,37
"129",1,1,1023,37
"130",1,1,1171,37
"131",1,1,1576,37
"132",1,1,1603,37
"133",1,1,2480,37
"134",1,1,126,38
"135",1,1,1032,38
"136",1,1,1171,38
"137",1,1,1437,38
"138",1,1,1957,38
"139",1,1,744,39
"140",1,1,900,39
"141",1,1,2119,39
"142",1,1,829,40
"143",1,1,889,40
"144",1,1,890,40
"145",1,1,943,40
"146",1,1,1441,40
"147",1,1,1754,40
"148",1,1,2199,40
"149",1,1,2634,40
"150",1,1,267,41
"151",1,1,536,41
"152",1,1,1462,41
"153",1,1,1978,41
"154",1,1,654,42
"155",1,1,2300,42
"156",1,1,215,43
"157",1,1,312,43
"158",1,1,541,43
"159",1,1,2147,43
"160",1,1,109,44
"161",1,1,301,44
"162",1,1,2584,44
"163",1,1,184,45
"164",1,1,792,45
"165",1,1,1226,45
"166",1,1,1526,45
"167",1,1,2371,45
"168",1,1,501,46
"169",1,1,871,46
"170",1,1,1011,46
"171",1,1,1085,46
"172",1,1,1361,46
"173",1,1,1393,46
"174",1,1,402,47
"175",1,1,999,47
"176",1,1,1030,47
"177",1,1,2758,47
"178",1,1,255,48
"179",1,1,1860,48
"180",1,1,2097,48
"181",1,1,2332,48
"182",1,1,2887,48
"183",1,1,1533,49
"184",1,1,2635,49
"185",1,1,245,50
"186",1,1,119,51
"187",1,1,825,51
"188",1,1,862,51
"189",1,1,1544,51
"190",1,1,2685,51
"191",1,1,439,52
"192",1,1,520,52
"193",1,1,1649,52
"194",1,1,2800,52
"195",1,1,716,53
"196",1,1,1523,54
"197",1,1,1769,54
"198",1,1,2129,54
"199",1,1,2927,54
"200",1,1,906,55
"201",1,1,1036,55
"202",1,1,1573,55
"203",1,1,2076,56
"204",1,1,2864,56
"205",1,1,437,57
"206",1,1,925,57
"207",1,1,1341,57
"208",1,1,1352,57
"209",1,1,1935,57
"210",1,1,2626,57
"211",1,1,2649,58
"212",1,1,2795,58
"213",1,1,91,59
"214",1,1,236,59
"215",1,1,592,59
"216",1,1,1263,59
"217",1,1,1380,59
"218",1,1,2181,59
"219",1,1,2610,59
"220",1,1,2034,60
"221",1,1,1596,62
"222",1,1,2420,62
"223",1,1,2266,63
"224",1,1,2377,63
"225",1,1,2437,63
"226",1,1,280,64
"227",1,1,615,64
"228",1,1,1418,64
"229",1,1,2684,64
"230",1,1,1534,65
"231",1,1,1702,65
"232",1,1,2172,65
"233",1,1,2543,65
"234",1,1,2764,65
"235",1,1,216,66
"236",1,1,532,66
"237",1,1,897,66
"238",1,1,2380,66
"239",1,1,2618,66
"240",1,1,2746,66
"241",1,1,146,67
"242",1,1,445,67
"243",1,1,1762,67
"244",1,1,1809,67
"245",1,1,2656,67
"246",1,1,251,69
"247",1,1,1100,69
"248",1,1,1354,69
"249",1,1,2017,69
"250",1,1,2981,69
"251",1,1,163,70
"252",1,1,2435,70
"253",1,1,371,72
"254",1,1,1803,72
"255",1,1,793,73
"256",1,1,1283,73
"257",1,1,1472,73
"258",1,1,2121,73
"259",1,1,2216,73
"260",1,1,1470,74
"261",1,1,904,75
"262",1,1,1394,75
"263",1,1,1844,75
"264",1,1,756,76
"265",1,1,2317,76
"266",1,1,2644,76
"267",1,1,886,77
"268",1,1,1634,78
"269",1,1,1999,78
"270",1,1,194,79
"271",1,1,717,79
"272",1,1,1308,79
"273",1,1,1587,79
"274",1,1,2020,79
"275",1,1,2269,79
"276",1,1,2807,79
"277",1,1,2827,79
"278",1,1,439,80
"279",1,1,2938,80
"280",1,1,1204,81
"281",1,1,1640,81
"282",1,1,1147,82
"283",1,1,2383,82
"284",1,1,2764,82
"285",1,1,97,83
"286",1,1,528,83
"287",1,1,1503,83
"288",1,1,203,84
"289",1,1,450,84
"290",1,1,451,84
"291",1,1,2309,84
"292",1,1,345,86
"293",1,1,402,86
"294",1,1,856,86
"295",1,1,2951,86
"296",1,1,383,87
"297",1,1,523,87
"298",1,1,1350,87
"299",1,1,2733,87
"300",1,1,624,88
"301",1,1,746,88
"302",1,1,2549,88
"303",1,1,2124,89
"304",1,1,2881,89
"305",1,1,328,90
"306",1,1,929,90
"307",1,1,1132,90
"308",1,1,1943,91
"309",1,1,2119,91
"310",1,1,2464,91
"311",1,1,1741,92
"312",1,1,2629,92
"313",1,1,1048,93
"314",1,1,1893,93
"315",1,1,2233,93
"316",1,1,2476,93
"317",1,1,2536,93
"318",1,1,2537,93
"319",1,1,2643,93
"320",1,1,2734,93
"321",1,1,2757,93
"322",1,1,433,94
"323",1,1,680,94
"324",1,1,1118,94
"325",1,1,1123,94
"326",1,1,1378,94
"327",1,1,1624,94
"328",1,1,1759,94
"329",1,1,2191,94
"330",1,1,2418,94
"331",1,1,2772,94
"332",1,1,833,95
"333",1,1,1288,95
"334",1,1,123,96
"335",1,1,285,96
"336",1,1,451,96
"337",1,1,1994,96
"338",1,1,2921,96
"339",1,1,1319,97
"340",1,1,2110,97
"341",1,1,2381,97
"342",1,1,2707,97
"343",1,1,2963,97
"344",1,1,1883,98
"345",1,1,2503,98
"346",1,1,2815,98
"347",1,1,2996,98
"348",1,1,685,99
"349",1,1,2018,99
"350",1,1,653,100
"351",1,1,2073,100
"352",1,1,2671,100
"353",1,1,446,101
"354",1,1,142,102
"355",1,1,1003,102
"356",1,1,1111,102
"357",1,1,1868,102
"358",1,1,2041,102
"359",1,1,2720,102
"360",1,1,849,103
"361",1,1,1652,103
"362",1,1,2278,103
"363",1,1,2915,103
"364",1,1,1322,104
"365",1,1,1338,104
"366",1,1,1524,104
"367",1,1,1662,104
"368",1,1,2147,104
"369",1,1,2615,104
"370",1,1,456,105
"371",1,1,747,105
"372",1,1,2149,105
"373",1,1,270,106
"374",1,1,928,106
"375",1,1,2525,106
"376",1,1,2702,106
"377",1,1,141,107
"378",1,1,189,107
"379",1,1,1803,107
"380",1,1,1825,107
"381",1,1,2082,107
"382",1,1,2951,107
"383",1,1,525,108
"384",1,1,924,108
"385",1,1,1218,108
"386",1,1,1229,108
"387",1,1,2242,108
"388",1,1,2594,108
"389",1,1,742,109
"390",1,1,2496,109
"391",1,1,797,110
"392",1,1,1468,110
"393",1,1,1941,110
"394",1,1,1943,111
"395",1,1,2277,111
"396",1,1,540,112
"397",1,1,318,113
"398",1,1,423,113
"399",1,1,578,113
"400",1,1,2386,113
"401",1,1,485,114
"402",1,1,1635,114
"403",1,1,1756,114
"404",1,1,2072,114
"405",1,1,2517,114
"406",1,1,2580,114
"407",1,1,250,115
"408",1,1,2364,115
"409",1,1,2719,115
"410",1,1,2769,115
"411",1,1,1089,116
"412",1,1,1599,116
"413",1,1,2111,116
"414",1,1,2655,116
"415",1,1,152,117
"416",1,1,165,117
"417",1,1,798,117
"418",1,1,1419,117
"419",1,1,1445,117
"420",1,1,1710,117
"421",1,1,2553,117
"422",1,1,2860,117
"423",1,1,819,118
"424",1,1,1326,118
"425",1,1,1732,118
"426",1,1,2030,118
"427",1,1,2637,118
"428",1,1,2970,118
"429",1,1,941,119
"430",1,1,2956,119
"431",1,1,285,120
"432",1,1,510,120
"433",1,1,682,121
"434",1,1,1909,121
"435",1,1,2216,121
"436",1,1,140,122
"437",1,1,570,122
"438",1,1,1942,122
"439",1,1,1975,122
"440",1,1,2438,122
"441",1,1,424,123
"442",1,1,518,123
"443",1,1,1447,123
"444",1,1,1538,123
"445",1,1,2641,123
"446",1,1,2646,123
"447",1,1,979,124
"448",1,1,1179,124
"449",1,1,1389,124
"450",1,1,1883,124
"451",1,1,1144,125
"452",1,1,2356,125
"453",1,1,471,126
"454",1,1,1306,126
"455",1,1,2774,126
"456",1,1,496,127
"457",1,1,2631,127
"458",1,1,2992,127
"459",1,1,1780,128
"460",1,1,2502,128
"461",1,1,717,129
"462",1,1,1404,129
"463",1,1,1720,129
"464",1,1,642,130
"465",1,1,1781,130
"466",1,1,2056,130
"467",1,1,2873,130
"468",1,1,419,131
"469",1,1,1232,131
"470",1,1,819,132
"471",1,1,1786,132
"472",1,1,1875,132
"473",1,1,2632,132
"474",1,1,2644,132
"475",1,1,960,133
"476",1,1,1956,133
"477",1,1,2488,133
"478",1,1,2764,133
"479",1,1,2896,133
"480",1,1,2934,133
"481",1,1,969,134
"482",1,1,1647,134
"483",1,1,2013,134
"484",1,1,2367,134
"485",1,1,544,135
"486",1,1,1406,135
"487",1,1,1507,135
"488",1,1,1698,135
"489",1,1,1719,135
"490",1,1,2721,135
"491",1,1,2976,135
"492",1,1,224,136
"493",1,1,411,136
"494",1,1,1059,136
"495",1,1,1442,136
"496",1,1,1530,136
"497",1,1,163,137
"498",1,1,197,137
"499",1,1,374,137
"500",1,1,1544,137
"501",1,1,1074,138
"502",1,1,2996,138
"503",1,1,615,139
"504",1,1,2070,139
"505",1,1,1507,140
"506",1,1,2307,140
"507",1,1,2315,140
"508",1,1,2741,140
"509",1,1,2838,140
"510",1,1,719,141
"511",1,1,1186,141
"512",1,1,2153,142
"513",1,1,2490,142
"514",1,1,2961,142
"515",1,1,1038,143
"516",1,1,1351,143
"517",1,1,1853,143
"518",1,1,270,144
"519",1,1,495,144
"520",1,1,1490,144
"521",1,1,2338,144
"522",1,1,2350,144
"523",1,1,1355,145
"524",1,1,481,146
"525",1,1,934,146
"526",1,1,1466,146
"527",1,1,1944,146
"528",1,1,2226,146
"529",1,1,2373,146
"530",1,1,2958,146
"531",1,1,1306,147
"532",1,1,1638,147
"533",1,1,1899,147
"534",1,1,2783,147
"535",1,1,846,148
"536",1,1,2678,148
"537",1,1,1407,149
"538",1,1,1493,149
"539",1,1,2511,149
"540",1,1,2672,149
"541",1,1,244,150
"542",1,1,888,150
"543",1,1,1839,150
"544",1,1,2085,150
"545",1,1,2127,150
"546",1,1,223,151
"547",1,1,416,151
"548",1,1,514,151
"549",1,1,755,151
"550",1,1,1158,151
"551",1,1,1295,151
"552",1,1,2503,152
"553",1,1,2824,152
"554",1,1,2101,153
"555",1,1,2396,153
"556",1,1,900,154
"557",1,1,2134,154
"558",1,1,2208,154
"559",1,1,432,155
"560",1,1,1166,155
"561",1,1,669,156
"562",1,1,1194,156
"563",1,1,1328,156
"564",1,1,1449,156
"565",1,1,1561,156
"566",1,1,513,157
"567",1,1,1088,158
"568",1,1,1308,158
"569",1,1,442,159
"570",1,1,546,159
"571",1,1,971,159
"572",1,1,2063,159
"573",1,1,2108,159
"574",1,1,2302,159
"575",1,1,2812,159
"576",1,1,2814,159
"577",1,1,1129,160
"578",1,1,1372,160
"579",1,1,1701,160
"580",1,1,2688,160
"581",1,1,272,161
"582",1,1,2996,161
"583",1,1,899,162
"584",1,1,1621,162
"585",1,1,2100,162
"586",1,1,791,163
"587",1,1,2424,163
"588",1,1,2735,163
"589",1,1,274,164
"590",1,1,1184,164
"591",1,1,885,165
"592",1,1,1597,165
"593",1,1,1718,165
"594",1,1,2040,165
"595",1,1,1009,166
"596",1,1,1197,166
"597",1,1,1265,166
"598",1,1,577,167
"599",1,1,455,168
"600",1,1,1472,168
"601",1,1,2085,168
"602",1,1,2153,168
"603",1,1,2954,168
"604",1,1,641,169
"605",1,1,699,169
"606",1,1,1519,169
"607",1,1,2749,169
"608",1,1,2825,169
"609",1,1,1977,170
"610",1,1,355,171
"611",1,1,1815,171
"612",1,1,2947,171
"613",1,1,936,172
"614",1,1,1172,172
"615",1,1,1724,172
"616",1,1,278,173
"617",1,1,980,173
"618",1,1,1050,173
"619",1,1,2122,173
"620",1,1,977,174
"621",1,1,1027,174
"622",1,1,1251,174
"623",1,1,1548,174
"624",1,1,334,175
"625",1,1,1223,175
"626",1,1,1445,175
"627",1,1,2804,175
"628",1,1,2852,175
"629",1,1,942,176
"630",1,1,2525,176
"631",1,1,2951,176
"632",1,1,2772,177
"633",1,1,2910,177
"634",1,1,1122,178
"635",1,1,1493,178
"636",1,1,2758,179
"637",1,1,589,180
"638",1,1,1851,180
"639",1,1,2150,180
"640",1,1,2356,180
"641",1,1,2559,180
"642",1,1,556,181
"643",1,1,1550,181
"644",1,1,1247,182
"645",1,1,1327,182
"646",1,1,1654,182
"647",1,1,2239,182
"648",1,1,901,183
"649",1,1,1047,183
"650",1,1,1294,183
"651",1,1,1347,183
"652",1,1,1867,183
"653",1,1,1923,183
"654",1,1,934,184
"655",1,1,1057,184
"656",1,1,1805,184
"657",1,1,1850,184
"658",1,1,2916,184
"659",1,1,1222,185
"660",1,1,2730,185
"661",1,1,2866,185
"662",1,1,2875,185
"663",1,1,995,186
"664",1,1,2526,186
"665",1,1,995,187
"666",1,1,1894,187
"667",1,1,2483,187
"668",1,1,2529,187
"669",1,1,2668,187
"670",1,1,233,188
"671",1,1,417,188
"672",1,1,628,188
"673",1,1,311,189
"674",1,1,1721,190
"675",1,1,2584,190
"676",1,1,1965,191
"677",1,1,2602,191
"678",1,1,2637,191
"679",1,1,2666,191
"680",1,1,303,192
"681",1,1,351,192
"682",1,1,721,192
"683",1,1,939,192
"684",1,1,1073,192
"685",1,1,1680,192
"686",1,1,2105,192
"687",1,1,1914,193
"688",1,1,2857,193
"689",1,1,441,194
"690",1,1,573,194
"691",1,1,1518,194
"692",1,1,1967,194
"693",1,1,2111,194
"694",1,1,2330,194
"695",1,1,2631,194
"696",1,1,668,195
"697",1,1,2041,195
"698",1,1,1170,196
"699",1,1,1612,196
"700",1,1,2512,196
"701",1,1,2552,196
"702",1,1,360,197
"703",1,1,1754,197
"704",1,1,1374,198
"705",1,1,1674,198
"706",1,1,1887,198
"707",1,1,2810,198
"708",1,1,484,199
"709",1,1,1380,199
"710",1,1,1784,199
"711",1,1,1832,199
"712",1,1,2477,199
"713",1,1,2774,199
"714",1,1,2859,199
"715",1,1,386,200
"716",1,1,2658,200
"717",1,1,2982,200
"718",1,1,1402,201
"719",1,1,2391,201
"720",1,1,2877,201
"721",1,1,2924,201
"722",1,1,1004,202
"723",1,1,1187,202
"724",1,1,1228,202
"725",1,1,2651,202
"726",1,1,2900,202
"727",1,1,1067,203
"728",1,1,2528,203
"729",1,1,679,204
"730",1,1,1912,204
"731",1,1,2120,204
"732",1,1,2932,204
"733",1,1,463,205
"734",1,1,263,206
"735",1,1,1765,206
"736",1,1,2467,206
"737",1,1,2603,206
"738",1,1,2779,206
"739",1,1,449,207
"740",1,1,1216,207
"741",1,1,2343,207
"742",1,1,2467,207
"743",1,1,2637,207
"744",1,1,2777,207
"745",1,1,806,208
"746",1,1,2384,208
"747",1,1,2612,208
"748",1,1,363,209
"749",1,1,665,209
"750",1,1,982,209
"751",1,1,1982,210
"752",1,1,659,211
"753",1,1,1796,211
"754",1,1,1939,211
"755",1,1,695,212
"756",1,1,1218,212
"757",1,1,1669,212
"758",1,1,2942,212
"759",1,1,587,213
"760",1,1,1688,213
"761",1,1,478,214
"762",1,1,587,214
"763",1,1,230,215
"764",1,1,1230,215
"765",1,1,2522,215
"766",1,1,218,216
"767",1,1,756,216
"768",1,1,1579,216
"769",1,1,1747,216
"770",1,1,2530,216
"771",1,1,2844,216
"772",1,1,2951,216
"773",1,1,229,217
"774",1,1,524,217
"775",1,1,2433,217
"776",1,1,269,218
"777",1,1,539,218
"778",1,1,541,218
"779",1,1,574,218
"780",1,1,2267,218
"781",1,1,365,219
"782",1,1,582,219
"783",1,1,1006,219
"784",1,1,1147,219
"785",1,1,1602,219
"786",1,1,816,220
"787",1,1,834,220
"788",1,1,849,220
"789",1,1,1314,220
"790",1,1,2027,220
"791",1,1,2290,220
"792",1,1,2021,221
"793",1,1,2119,221
"794",1,1,2663,221
"795",1,1,2803,221
"796",1,1,242,222
"797",1,1,340,222
"798",1,1,692,222
"799",1,1,1227,223
"800",1,1,1820,223
"801",1,1,2931,223
"802",1,1,1533,224
"803",1,1,1778,224
"804",1,1,2512,224
"805",1,1,2983,224
"806",1,1,379,225
"807",1,1,444,225
"808",1,1,937,226
"809",1,1,1988,226
"810",1,1,2136,226
"811",1,1,1199,227
"812",1,1,2072,227
"813",1,1,2937,227
"814",1,1,2449,228
"815",1,1,2563,228
"816",1,1,1753,229
"817",1,1,2001,229
"818",1,1,2381,229
"819",1,1,2625,229
"820",1,1,1611,230
"821",1,1,1723,230
"822",1,1,1764,230
"823",1,1,1900,230
"824",1,1,2879,230
"825",1,1,499,231
"826",1,1,1099,231
"827",1,1,1179,231
"828",1,1,2486,231
"829",1,1,2842,231
"830",1,1,905,232
"831",1,1,1020,232
"832",1,1,1025,232
"833",1,1,1390,232
"834",1,1,2161,232
"835",1,1,2439,232
"836",1,1,2566,232
"837",1,1,2661,232
"838",1,1,1009,233
"839",1,1,1350,233
"840",1,1,1036,234
"841",1,1,1278,234
"842",1,1,1785,234
"843",1,1,1964,234
"844",1,1,2884,234
"845",1,1,262,235
"846",1,1,716,235
"847",1,1,2269,235
"848",1,1,2948,235
"849",1,1,359,236
"850",1,1,500,237
"851",1,1,1585,237
"852",1,1,1021,238
"853",1,1,1222,238
"854",1,1,1593,238
"855",1,1,343,239
"856",1,1,850,239
"857",1,1,1607,240
"858",1,1,2619,240
"859",1,1,413,241
"860",1,1,1121,241
"861",1,1,1333,241
"862",1,1,1541,241
"863",1,1,2565,241
"864",1,1,633,242
"865",1,1,1015,242
"866",1,1,1201,243
"867",1,1,1275,243
"868",1,1,1721,243
"869",1,1,1739,243
"870",1,1,2807,243
"871",1,1,1302,244
