,sim_i,t,source,target
27860,1,19,947,244
27861,1,19,2136,245
27862,1,19,1579,247
27863,1,19,1938,247
27864,1,19,1467,249
27865,1,19,1970,250
27866,1,19,287,251
27867,1,19,468,251
27868,1,19,921,251
27869,1,19,739,252
27870,1,19,2719,253
27871,1,19,1720,255
27872,1,19,2524,255
27873,1,19,2974,255
27874,1,19,607,257
27875,1,19,1652,260
27876,1,19,2297,261
27877,1,19,2509,261
27878,1,19,2214,262
27879,1,19,470,264
27880,1,19,2032,264
27881,1,19,1463,266
27882,1,19,1971,266
27883,1,19,1188,268
27884,1,19,2557,269
27885,1,19,2702,269
27886,1,19,2394,270
27887,1,19,1454,272
27888,1,19,2358,272
27889,1,19,2464,272
27890,1,19,1545,273
27891,1,19,2275,273
27892,1,19,2776,273
27893,1,19,657,274
27894,1,19,866,274
27895,1,19,1329,274
27896,1,19,293,275
27897,1,19,2024,275
27898,1,19,959,278
27899,1,19,2083,279
27900,1,19,557,280
27901,1,19,2109,281
27902,1,19,739,282
27903,1,19,2553,282
27904,1,19,1952,283
27905,1,19,1213,284
27906,1,19,1788,285
27907,1,19,819,287
27908,1,19,1027,287
27909,1,19,2667,290
27910,1,19,2724,290
27911,1,19,2575,291
27912,1,19,312,293
27913,1,19,2482,293
27914,1,19,601,294
27915,1,19,1246,296
27916,1,19,1925,296
27917,1,19,664,299
27918,1,19,1819,301
27919,1,19,2015,301
27920,1,19,743,302
27921,1,19,1766,303
27922,1,19,883,305
27923,1,19,1044,305
27924,1,19,2060,305
27925,1,19,1084,306
27926,1,19,2610,306
27927,1,19,824,307
27928,1,19,977,308
27929,1,19,1996,308
27930,1,19,542,310
27931,1,19,569,310
27932,1,19,1019,310
27933,1,19,2752,310
27934,1,19,1784,311
27935,1,19,2481,312
27936,1,19,1039,313
27937,1,19,991,315
27938,1,19,1608,316
27939,1,19,2951,318
27940,1,19,1478,319
27941,1,19,2111,319
27942,1,19,1836,321
27943,1,19,2005,321
27944,1,19,2436,321
27945,1,19,2592,321
